time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
1,0.074945052,0.810696,7.1951656,0.02095238,48,30,31.967286,32.07326
2,0.07575091,0.8235897,7.1951656,0.025787546,47,30,31.967286,33.443224
3,0.07575091,0.810696,7.1951656,0.024175824,47,30,30.851136,32.234432
4,0.07655678,0.810696,7.3112088,0.024175824,47,30,30.972686,32.234432
6,0.07575091,0.810696,7.1951656,0.023369962,47,30,30.972686,32.234432
7,0.07655678,0.8131136,7.3112088,0.024175824,47,30,30.851136,32.315016
8,0.077362632,0.8098901,7.3112088,0.023369962,47,30,30.729554,32.234432
10,0.07655678,0.8066667,7.3112088,0.02095238,47,30,30.972686,32.315016
11,0.07655678,0.8131136,7.34989168,0.021758242,47,30,31.361206,32.315016
12,0.07655678,0.8131136,7.34989168,0.021758242,47,30,30.729554,32.315016
13,0.07655678,0.8211722,7.220953,0.021758242,47,30,30.729554,33.362636
15,0.07655678,0.8211722,7.2274,0.023369962,47,30,31.26413,33.362636
16,0.07413919,0.8211722,7.2274,0.023369962,47,30,31.02127,32.153848
17,0.077362632,0.8179487,7.2274,0.023369962,47,30,31.02127,32.47619
19,0.0781685,0.8139194,7.34989168,0.024175824,47,30,31.02127,32.153848
20,0.08058608,0.80908424,7.39501936,0.02095238,47,30,31.02127,32.07326
21,0.0781685,0.80908424,7.39501936,0.02095238,47,30,31.02127,32.07326
22,0.0781685,0.810696,7.34989168,0.02095238,47,30,31.094146,32.07326
24,0.0781685,0.8098901,7.34989168,0.02095238,47,30,30.89975,32.07326
25,0.074945052,0.810696,7.375677,0.02095238,47,30,31.094146,32.07326
26,0.07413919,0.810696,7.1693784,0.02095238,47,30,31.506774,32.637364
28,0.074945052,0.810696,7.375677,0.024175824,48,30,31.094146,32.637364
29,0.0781685,0.8098901,7.420807,0.025787546,48,30,30.729554,32.07326
30,0.07413919,0.810696,7.420807,0.026593408,47,30,31.312684,32.637364
31,0.0781685,0.827619,7.3563384,0.026593408,48,30,30.80249,32.637364
33,0.0781685,0.810696,7.3563384,0.025787546,48,30,30.80249,32.07326
34,0.07575091,0.827619,7.21450432,0.024981684,47,30,31.166992,32.798536
35,0.074945052,0.827619,7.21450432,0.024981684,47,30,31.166992,32.798536
37,0.07575091,0.810696,7.3563384,0.024175824,47,30,30.80249,32.153848
38,0.07575091,0.810696,7.21450432,0.021758242,47,30,31.166992,32.153848
39,0.077362632,0.8082784,7.40146436,0.021758242,47,30,30.80249,32.153848
41,0.0781685,0.8082784,7.40146436,0.021758242,47,30,30.778198,32.153848
42,0.0781685,0.80908424,7.298315,0.021758242,47,30,30.753876,32.153848
43,0.0781685,0.80908424,7.298315,0.024981684,47,30,30.753876,32.959704
44,0.0781685,0.817142836,7.298315,0.025787546,47,30,30.753876,33.040296
46,0.07655678,0.817142836,7.298315,0.025787546,47,30,30.753876,33.040296
47,0.07655678,0.817142836,7.3112088,0.024981684,47,30,30.851136,33.040296
48,0.07655678,0.81230768,7.3241024,0.024981684,47,30,30.851136,32.234432
50,0.0781685,0.81230768,7.3112088,0.024981684,47,30,30.851136,32.234432
51,0.0781685,0.8058608,7.3692308,0.024981684,47,30,30.583558,32.234432
52,0.0781685,0.80505496,7.39501936,0.024981684,47,30,30.583558,31.992674
53,0.0781685,0.80505496,7.39501936,0.024981684,47,30,30.4131468,32.153848
55,0.07897436,0.8082784,7.3692308,0.026593408,47,30,30.583558,32.234432
56,0.07897436,0.80505496,7.3692308,0.02095238,47,30,30.583558,32.234432
57,0.0781685,0.8082784,7.3112088,0.02095238,47,30,30.656556,32.234432
59,0.077362632,0.8098901,7.201613,0.02095238,47,30,31.40973,32.315016
60,0.074945052,0.81230768,7.201613,0.024981684,47,30,31.40973,32.47619
61,0.07413919,0.81230768,7.201613,0.02095238,47,30,31.676514,32.47619
62,0.07413919,0.82036624,7.150036,0.02095238,47,30,31.40973,32.315016
64,0.07413919,0.82036624,7.150036,0.02095238,47,30,31.40973,32.87912
65,0.074945052,0.82036624,7.150036,0.02095238,47,30,31.336944,32.717944
66,0.07575091,0.82036624,7.150036,0.02095238,47,30,31.191284,32.717944
68,0.07575091,0.82036624,7.1951656,0.024981684,47,30,30.729554,32.87912
69,0.07575091,0.8195604,7.304762,0.025787546,47,30,30.70523,33.120876
70,0.07575091,0.8243956,7.304762,0.025787546,47,30,30.656556,33.120876
71,0.07575091,0.8243956,7.304762,0.024981684,47,30,30.656556,33.120876
73,0.07575091,0.8243956,7.304762,0.023369962,47,30,30.70523,32.87912
74,0.07575091,0.8260073,7.253187,0.023369962,47,30,30.70523,33.120876
75,0.07575091,0.8260073,6.911503,0.022564104,47,30,30.972686,32.717944
77,0.07575091,0.8243956,6.911503,0.022564104,47,30,30.972686,32.556776
78,0.07655678,0.816337,6.911503,0.021758242,47,30,30.972686,31.992674
79,0.07655678,0.816337,7.2338467,0.02095238,47,30,30.851136,31.750916
81,0.07655678,0.8147253,7.072674,0.02095238,47,30,30.972686,31.750916
82,0.074945052,0.8147253,7.137144,0.02014652,47,30,31.02127,31.992674
83,0.074945052,0.8147253,7.137144,0.02014652,47,30,31.02127,32.315016
84,0.074945052,0.8115018,7.2725277,0.02014652,47,30,31.118438,32.315016
86,0.07575091,0.810696,7.2725277,0.024175824,47,30,31.118438,32.315016
87,0.077362632,0.8066667,7.304762,0.024175824,47,30,31.118438,32.315016
88,0.0781685,0.8066667,7.304762,0.024175824,47,30,31.118438,32.234432
90,0.077362632,0.8058608,7.304762,0.024175824,47,30,31.118438,32.234432
