time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
102,1.3820512,0.81230768,0.6000004,0.1007326,63,18,19.443604,19.743592
104,1.3820512,0.8687179,0.6000004,0.1007326,63,18,19.443604,19.824176
105,1.3820512,0.8703297,0.6000004,0.1007326,63,18,19.524536,19.824176
106,1.4086447,0.8687179,0.6000004,0.1007326,63,18,19.524536,19.824176
108,1.436044,0.87435896,0.6000004,0.10153846,64,18,19.524536,19.904762
109,1.436044,0.87435896,0.6000004,0.10153846,63,18,19.443604,20.549452
110,1.436044,0.8638827,0.6000004,0.09912088,64,18,19.443604,20.549452
111,1.4223443,0.78813184,0.6000004,0.09912088,64,18,19.416596,19.904762
113,1.4158975,0.7889377,0.6000004,0.09831502,64,18,19.416596,20.630038
114,1.4062271,0.78813184,0.6000004,0.09831502,63,18,19.470582,20.630038
115,1.3917216,0.78813184,0.6000004,0.09831502,63,18,19.470582,19.904762
117,1.3747985,0.7889377,0.6000004,0.09831502,64,18,18.928588,19.824176
118,1.4062271,0.7889377,0.6000004,0.0967033,64,18,19.470582,19.824176
119,1.3868864,0.8066667,0.6000004,0.09831502,63,18,19.118804,19.824176
120,1.3747985,0.882417536,0.6000004,0.0967033,64,18,19.118804,19.824176
122,1.3868864,0.8066667,0.6000004,0.0967033,64,18,19.389556,19.743592
123,1.3868864,0.76315016,0.6000004,0.09831502,64,18,19.389556,19.824176
124,1.3828571,0.882417536,0.6000004,0.09831502,64,18,19.227234,19.824176
126,1.3828571,0.76315016,0.6000004,0.09750915,64,18,19.362548,19.663006
127,1.4134798,0.76315016,0.6000004,0.09750915,64,18,19.362548,19.663006
128,1.4263736,0.8534066,0.6000004,0.09347985,64,18,19.362548,19.663006
129,1.4312087,0.8534066,0.6000004,0.09347985,64,18,19.362548,19.663006
131,1.4312087,0.8534066,0.6000004,0.09106227,64,18,19.362548,19.743592
132,1.4263736,0.8534066,0.6000004,0.090256416,64,18,19.362548,19.824176
133,1.3691574,0.7397802,0.6000004,0.090256416,64,18,19.362548,19.743592
135,1.3530402,0.7397802,0.6000004,0.090256416,64,18,19.470582,19.743592
136,1.3530402,0.7397802,0.6000004,0.090256416,64,18,19.470582,19.743592
137,1.3530402,0.7067399,0.6000004,0.09106227,64,18,19.470582,19.824176
138,1.4094505,0.7397802,0.6000004,0.09106227,64,18,19.470582,19.824176
140,1.4134798,0.82520148,0.6000004,0.09106227,64,18,19.281402,19.904762
141,1.4134798,0.7067399,0.6000004,0.09106227,64,18,19.254334,20.630038
142,1.4175091,0.82520148,0.6000004,0.090256416,64,18,19.173034,20.630038
144,1.4134798,0.8284249,0.6000004,0.08783882,64,18,19.064514,20.710622
145,1.4175091,0.82520148,0.6000004,0.08783882,64,18,19.064514,20.710622
146,1.4175091,0.8284249,0.6000004,0.08783882,64,18,19.173034,20.710622
147,1.4191208,0.9122344,0.6000004,0.08864469,63,18,19.362548,20.630038
149,1.4191208,0.8284249,0.6000004,0.09347985,64,18,19.443604,20.630038
150,1.4223443,0.9122344,0.6000004,0.09347985,64,18,19.470582,20.307692
151,1.4223443,0.9122344,0.6000004,0.089450548,63,18,19.443604,20.307692
153,1.4223443,0.8550183,0.6000004,0.089450548,63,18,19.362548,19.985348
154,1.4110622,0.8550183,0.6000004,0.09347985,63,18,19.33551,19.904762
155,1.3925275,0.8574359,0.6000004,0.089450548,63,18,19.200134,19.904762
157,1.3772161,0.8550183,0.6000004,0.091868132,63,18,19.200134,19.904762
158,1.3538462,0.8574359,0.6000004,0.091868132,63,18,19.145936,19.904762
159,1.3417582,0.8606593,0.6000004,0.08864469,63,18,19.200134,19.904762
160,1.3385347,0.8574359,0.6000004,0.08864469,63,18,19.200134,19.904762
162,1.3385347,0.7889377,0.6000004,0.090256416,63,18,19.254334,19.904762
163,1.3417582,0.8606593,0.6000004,0.08864469,63,18,19.254334,19.904762
164,1.3385347,0.7889377,0.6000004,0.08864469,63,18,19.254334,19.904762
166,1.4150915,0.7889377,0.6000004,0.08864469,63,18,19.254334,20.227106
167,1.4150915,0.7889377,0.6000004,0.08542124,63,18,19.173034,20.227106
